crop_path,field_type,form_id,food_group_id,item_id,extracted_value,true_value
real_scan_v2/review/real_scan_star/checkbox_starchy_staples_rice.png,checkbox,real_scan_star,starchy_staples,rice,True,True
real_scan_v2/review/real_scan_star/checkbox_starchy_staples_potato_pastusa.png,checkbox,real_scan_star,starchy_staples,potato_pastusa,False,False
real_scan_v2/review/real_scan_star/checkbox_starchy_staples_potato_criolla.png,checkbox,real_scan_star,starchy_staples,potato_criolla,True,True
real_scan_v2/review/real_scan_star/checkbox_starchy_staples_potato_superior.png,checkbox,real_scan_star,starchy_staples,potato_superior,False,False
real_scan_v2/review/real_scan_star/checkbox_starchy_staples_plantain_green.png,checkbox,real_scan_star,starchy_staples,plantain_green,False,False
real_scan_v2/review/real_scan_star/checkbox_starchy_staples_banana_guineo.png,checkbox,real_scan_star,starchy_staples,banana_guineo,False,False
real_scan_v2/review/real_scan_star/checkbox_starchy_staples_cassava_yuca.png,checkbox,real_scan_star,starchy_staples,cassava_yuca,True,True
real_scan_v2/review/real_scan_star/checkbox_starchy_staples_arracacha.png,checkbox,real_scan_star,starchy_staples,arracacha,False,False
real_scan_v2/review/real_scan_star/checkbox_starchy_staples_name_yam.png,checkbox,real_scan_star,starchy_staples,name_yam,True,True
real_scan_v2/review/real_scan_star/checkbox_starchy_staples_corn_yellow.png,checkbox,real_scan_star,starchy_staples,corn_yellow,False,False
real_scan_v2/review/real_scan_star/checkbox_starchy_staples_corn_white.png,checkbox,real_scan_star,starchy_staples,corn_white,True,True
real_scan_v2/review/real_scan_star/checkbox_starchy_staples_wheat_flour.png,checkbox,real_scan_star,starchy_staples,wheat_flour,False,False
real_scan_v2/review/real_scan_star/checkbox_starchy_staples_pasta.png,checkbox,real_scan_star,starchy_staples,pasta,False,False
real_scan_v2/review/real_scan_star/checkbox_starchy_staples_arepa_flour.png,checkbox,real_scan_star,starchy_staples,arepa_flour,False,False
